X,Y,Z
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
0.03,-0.08,0.99
