RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4425,4740,89273,111765,262143,262143,262143,262143
4424,4745,89261,111716,262143,262143,262143,262143
4424,4749,89239,111672,262143,262143,262143,262143
4419,4755,89217,111649,262143,262143,262143,262143
4430,4739,89254,111725,262143,262143,262143,262143
4419,4751,89243,111730,262143,262143,262143,262143
4427,4745,89250,111701,262143,262143,262143,262143
4417,4743,89232,111607,262143,262143,262143,262143
4416,4742,89196,111607,262143,262143,262143,262143
4429,4747,89216,111611,262143,262143,262143,262143
4432,4745,89211,111599,262143,262143,262143,262143
4424,4732,89218,111591,262143,262143,262143,262143
4414,4741,89190,111553,262143,262143,262143,262143
4407,4734,89209,111607,262143,262143,262143,262143
4414,4742,89216,111534,262143,262143,262143,262143
4401,4772,89180,111479,262143,262143,262143,262143
4406,4724,89169,111477,262143,262143,262143,262143
4413,4729,89159,111450,262143,262143,262143,262143
4416,4739,89137,111401,262143,262143,262143,262143
4418,4746,89088,111168,262143,262143,262143,262143
4418,4759,89052,111150,262143,262143,262143,262143
4399,4749,89058,111250,262143,262143,262143,262143
4406,4763,89116,111454,262143,262143,262143,262143
4415,4749,89182,111499,262143,262143,262143,262143
4427,4750,89201,111586,262143,262143,262143,262143
4426,4751,89254,111773,262143,262143,262143,262143
4418,4758,89281,111715,262143,262143,262143,262143
4413,4739,89298,112131,262143,262143,262143,262143
4399,4758,89479,112180,262143,262143,262143,262143
4432,4757,89499,112434,262143,262143,262143,262143
4422,4759,89522,112229,262143,262143,262143,262143
4425,4769,89317,111809,262143,262143,262143,262143
4419,4757,89230,111565,262143,262143,262143,262143
4412,4757,89194,111517,262143,262143,262143,262143
4428,4753,89159,111545,262143,262143,262143,262143
4426,4752,89205,111700,262143,262143,262143,262143
4417,4763,89232,111906,262143,262143,262143,262143
4434,4744,89276,111692,262143,262143,262143,262143
4405,4761,89218,111551,262143,262143,262143,262143
4438,4744,89190,111556,262143,262143,262143,262143
4411,4780,89185,111616,262143,262143,262143,262143
4434,4757,89240,111713,262143,262143,262143,262143
4419,4782,89224,111441,262143,262143,262143,262143
4421,4766,89178,111532,262143,262143,262143,262143
4415,4759,89286,111885,262143,262143,262143,262143
4420,4775,89286,111757,262143,262143,262143,262143
4416,4790,89248,111514,262143,262143,262143,262143
4429,4764,89195,111507,262143,262143,262143,262143
4416,4761,89178,111413,262143,262143,262143,262143
4424,4741,89131,111289,262143,262143,262143,262143
4414,4768,89126,111370,262143,262143,262143,262143
4428,4766,89120,111322,262143,262143,262143,262143
4420,4772,89137,111392,262143,262143,262143,262143
4436,4758,89128,111347,262143,262143,262143,262143
4423,4754,89126,111270,262143,262143,262143,262143
4422,4756,89104,111225,262143,262143,262143,262143
4417,4759,89083,111119,262143,262143,262143,262143
4418,4753,89082,111344,262143,262143,262143,262143
4423,4764,89069,111434,262143,262143,262143,262143
4318,4689,77915,112464,82357,147887,82400,147848
4418,4756,89615,112410,262143,262143,262143,262143
4438,4771,89316,111322,262143,262143,262143,262143
4417,4756,89102,111214,262143,262143,262143,262143
4419,4767,89137,111919,262143,262143,262143,262143
4431,4760,89296,111955,262143,262143,262143,262143
4414,4765,89449,112366,262143,262143,262143,262143
4427,4771,89425,111776,262143,262143,262143,262143
4422,4772,89306,111763,262143,262143,262143,262143
4427,4747,89092,111106,262143,262143,262143,262143
4436,4771,89009,111028,262143,262143,262143,262143
4430,4749,88998,110967,262143,262143,262143,262143
4414,4757,88976,110978,262143,262143,262143,262143
4415,4763,88977,110986,262143,262143,262143,262143
4402,4772,88931,110865,262143,262143,262143,262143
4437,4773,88932,110832,262143,262143,262143,262143
4420,4763,88984,110760,262143,262143,262143,262143
4416,4752,88972,111026,262143,262143,262143,262143
4419,4768,89050,111263,262143,262143,262143,262143
4419,4766,89016,111303,262143,262143,262143,262143
4414,4783,89141,111343,262143,262143,262143,262143
4417,4767,89036,111169,262143,262143,262143,262143
4403,4775,89052,111305,262143,262143,262143,262143
4429,4766,89075,111570,262143,262143,262143,262143
4422,4782,89183,111602,262143,262143,262143,262143
4424,4776,89150,111510,262143,262143,262143,262143
4418,4742,89060,111054,262143,262143,262143,262143
4425,4761,89052,111155,262143,262143,262143,262143
4409,4784,89090,111460,262143,262143,262143,262143
4422,4768,89160,111701,262143,262143,262143,262143
4404,4766,89220,111753,262143,262143,262143,262143
4421,4764,89181,111623,262143,262143,262143,262143
4420,4761,89250,111937,262143,262143,262143,262143
4407,4763,89373,112135,262143,262143,262143,262143
4417,4758,89490,112352,262143,262143,262143,262143
4426,4768,89548,112607,262143,262143,262143,262143
4410,4758,89384,112276,262143,262143,262143,262143
4423,4762,89443,112882,262143,262143,262143,262143
4410,4767,89961,112789,262143,262143,262143,262143
4404,4765,89545,111790,262143,262143,262143,262143
4420,4762,89319,111946,262143,262143,262143,262143
4413,4762,89288,111813,262143,262143,262143,262143
4419,4758,89252,111576,262143,262143,262143,262143
4414,4778,89188,111480,262143,262143,262143,262143
4410,4775,89190,111387,262143,262143,262143,262143
4433,4773,89106,111203,262143,262143,262143,262143
4414,4752,89134,111225,262143,262143,262143,262143
4419,4767,89092,111276,262143,262143,262143,262143
4408,4753,89109,111466,262143,262143,262143,262143
4419,4767,89141,111343,262143,262143,262143,262143
4421,4773,89203,111470,262143,262143,262143,262143
4407,4782,89162,111022,262143,262143,262143,262143
4413,4768,89141,111263,262143,262143,262143,262143
4406,4768,89147,111386,262143,262143,262143,262143
4420,4773,89146,111341,262143,262143,262143,262143
4422,4778,89154,111632,262143,262143,262143,262143
4429,4778,89273,111848,262143,262143,262143,262143
4405,4775,89257,111693,262143,262143,262143,262143
4430,4776,89214,111464,262143,262143,262143,262143
4424,4780,89180,111317,262143,262143,262143,262143
4434,4778,89113,111220,262143,262143,262143,262143
4413,4787,89103,111349,262143,262143,262143,262143
4420,4790,89158,111416,262143,262143,262143,262143
4429,4775,89162,111517,262143,262143,262143,262143
4429,4782,89212,111463,262143,262143,262143,262143
4430,4788,89144,111316,262143,262143,262143,262143
4426,4792,89140,111337,262143,262143,262143,262143
4426,4789,89182,111666,262143,262143,262143,262143
4420,4778,89218,111506,262143,262143,262143,262143
4419,4782,89183,111374,262143,262143,262143,262143
4440,4799,89134,111321,262143,262143,262143,262143
4425,4784,89151,111438,262143,262143,262143,262143
4427,4789,89170,111452,262143,262143,262143,262143
4429,4787,89153,111461,262143,262143,262143,262143
4418,4775,89158,111389,262143,262143,262143,262143
